source,frame_idx,flip_time,ifi,event_marker
sub-003\trial_summary\pair_029\frame_log.csv,106,1278.430765,0.0699170000000322,
sub-003\trial_summary\pair_030\frame_log.csv,54,794.853916,0.11012500000003911,
sub-003\trial_summary\pair_030\frame_log.csv,87,795.452664,0.075458000000026,
sub-003\trial_summary\pair_030\frame_log.csv,117,795.997302,0.0706279999999424,
sub-003\trial_summary\pair_030\frame_log.csv,143,796.488165,0.07788600000003498,
sub-003\trial_summary\pair_031\frame_log.csv,54,567.48918,0.061892000000057124,
sub-003\trial_summary\pair_031\frame_log.csv,84,568.013814,0.05323499999997239,
sub-003\trial_summary\pair_031\frame_log.csv,120,568.666095,0.07217100000002574,
sub-003\trial_summary\pair_031\frame_log.csv,150,569.201074,0.05713199999991048,
sub-003\trial_summary\pair_032\frame_log.csv,34,1025.447872,0.08738599999992402,
sub-003\trial_summary\pair_032\frame_log.csv,64,1025.972645,0.04552899999998772,
sub-003\trial_summary\pair_032\frame_log.csv,95,1026.527293,0.06678500000020904,
sub-003\trial_summary\pair_032\frame_log.csv,124,1027.066991,0.07287099999985003,
sub-003\trial_summary\pair_033\frame_log.csv,86,368.08972,0.029534000000012384,
sub-003\trial_summary\pair_033\frame_log.csv,42,374.447781,0.05428399999999556,
sub-003\trial_summary\pair_033\frame_log.csv,67,374.897848,0.054349999999999454,
sub-003\trial_summary\pair_033\frame_log.csv,98,375.459736,0.06620600000002241,
sub-003\trial_summary\pair_033\frame_log.csv,120,375.888581,0.07840499999997519,
sub-003\trial_summary\pair_034\frame_log.csv,58,1293.519263,0.09277899999983674,
sub-003\trial_summary\pair_034\frame_log.csv,103,1294.292819,0.04955300000005991,
sub-003\trial_summary\pair_034\frame_log.csv,142,1294.967129,0.040649000000030355,
sub-003\trial_summary\pair_034\frame_log.csv,174,1295.552522,0.07599800000002688,
sub-003\trial_summary\pair_035\frame_log.csv,41,1156.255045,0.061345000000073924,
sub-003\trial_summary\pair_035\frame_log.csv,72,1156.803031,0.05916099999990365,
sub-003\trial_summary\pair_035\frame_log.csv,103,1157.351008,0.05720300000007228,
sub-003\trial_summary\pair_035\frame_log.csv,128,1157.802061,0.05880200000001423,
sub-003\trial_summary\pair_036\frame_log.csv,39,633.601498,0.058055999999965024,
sub-003\trial_summary\pair_036\frame_log.csv,75,634.24831,0.07154899999989084,
sub-003\trial_summary\pair_036\frame_log.csv,111,634.892771,0.06598400000007132,
sub-003\trial_summary\pair_036\frame_log.csv,138,635.418914,0.09205099999996946,
sub-003\trial_summary\pair_037\frame_log.csv,66,952.015892,0.12237100000004375,
sub-003\trial_summary\pair_037\frame_log.csv,102,952.713437,0.12007500000004256,
sub-003\trial_summary\pair_037\frame_log.csv,140,953.439266,0.11191699999994853,
sub-003\trial_summary\pair_037\frame_log.csv,172,954.085632,0.142278000000033,
sub-003\trial_summary\pair_038\frame_log.csv,34,983.042745,0.08280600000000504,
sub-003\trial_summary\pair_038\frame_log.csv,62,983.562412,0.06894099999999526,
